,score,is_test,truth
3969,1.6161957e-09,1,0
1893,2.4028484e-09,0,0
336,2.4440696e-09,0,0
1469,2.6543792e-09,0,0
605,2.822803e-09,0,0
1200,3.134676e-09,0,0
2210,3.5528191e-09,1,0
2992,4.122553e-09,1,0
1125,4.375939e-09,0,0
3795,4.48461e-09,1,0
2149,5.001303e-09,1,0
877,5.366741e-09,0,0
352,5.5096767e-09,0,0
3154,5.8148184e-09,1,0
1243,6.522319e-09,0,0
3657,7.539991e-09,1,0
58,7.7675635e-09,0,0
1150,8.127165e-09,0,0
337,8.222542e-09,0,0
912,8.5435055e-09,0,0
637,8.748861e-09,0,0
942,1.0526244e-08,0,0
600,1.1250207e-08,0,0
909,1.353028e-08,0,0
1900,1.3710414e-08,0,0
1715,1.4327395e-08,0,0
3102,1.4430873e-08,1,0
1868,1.4752986e-08,0,0
383,1.5512068e-08,0,0
977,1.5515472e-08,0,0
1047,1.5820854e-08,0,0
75,1.6213404e-08,0,0
1594,2.04444e-08,0,0
2276,2.1998286e-08,1,0
339,2.3305168e-08,0,0
1899,2.3489251e-08,0,0
1939,2.3650374e-08,0,0
1533,2.377856e-08,0,0
612,2.436354e-08,0,0
834,2.6749847e-08,0,0
1856,2.7009008e-08,0,0
400,2.9288545e-08,0,0
3578,3.1572693e-08,1,0
1968,3.1615116e-08,0,0
755,3.27566e-08,0,0
2784,3.7876756e-08,1,0
2736,3.8270496e-08,1,0
278,3.84521e-08,0,0
524,3.8486437e-08,0,0
2031,3.853095e-08,1,0
722,4.1698936e-08,0,0
3016,4.3208622e-08,1,0
1220,4.349654e-08,0,0
1081,4.4052097e-08,0,0
3184,4.5268774e-08,1,0
1263,4.5682597e-08,0,0
1466,4.9115084e-08,0,0
3851,5.449511e-08,1,0
848,5.4549393e-08,0,0
1481,5.5220625e-08,0,0
490,5.528143e-08,0,0
3113,6.243451e-08,1,0
198,7.8457084e-08,0,0
413,7.864841e-08,0,0
517,8.481438e-08,0,0
2299,8.641415e-08,1,0
1671,8.846593e-08,0,0
