,score,is_test,truth
1877,5.0817484e-09,0,0
338,2.4811818e-08,0,0
3197,2.499407e-08,1,0
3139,2.5770749e-08,1,0
3016,2.7537247e-08,1,0
1149,5.5844804e-08,0,0
893,5.7260685e-08,0,0
766,6.763268e-08,0,0
1598,7.384559e-08,0,0
1112,8.296667e-08,0,0
1767,8.914005e-08,0,0
3880,9.365828e-08,1,0
998,9.5265555e-08,0,0
3562,9.569863e-08,1,0
1872,1.0168081e-07,0,0
1348,1.0198109e-07,0,0
1480,1.03079934e-07,0,0
828,1.0450489e-07,0,0
578,1.106971e-07,0,0
1471,1.1923605e-07,0,0
394,1.1972556e-07,0,0
2936,1.2056783e-07,1,0
269,1.3406874e-07,0,0
1352,1.4970334e-07,0,0
1410,1.5125595e-07,0,0
393,1.5177064e-07,0,0
1926,1.7134838e-07,0,0
761,1.784115e-07,0,0
849,1.8737131e-07,0,0
857,1.9957199e-07,0,0
1765,1.9984815e-07,0,0
2081,2.0370275e-07,1,0
559,2.111568e-07,0,0
378,2.1771882e-07,0,0
3803,2.2722234e-07,1,0
285,2.3313622e-07,0,0
3707,2.3957935e-07,1,0
482,2.4426222e-07,0,0
3274,2.5058756e-07,1,0
1848,2.552275e-07,0,0
2551,2.5669308e-07,1,0
724,2.6925895e-07,0,0
2364,2.7150537e-07,1,0
530,2.7767157e-07,0,0
1547,2.8086166e-07,0,0
3109,2.8126692e-07,1,0
685,2.844896e-07,0,0
1484,2.887369e-07,0,0
3074,2.9190065e-07,1,0
2130,2.953443e-07,1,0
1088,3.150322e-07,0,0
332,3.220902e-07,0,0
300,3.2302873e-07,0,0
631,3.3117485e-07,0,0
88,3.346207e-07,0,0
3308,3.3474487e-07,1,0
1316,3.363455e-07,0,0
2104,3.3989215e-07,1,0
3376,3.4325288e-07,1,0
702,3.4799461e-07,0,0
881,3.4833198e-07,0,0
3003,3.5297955e-07,1,0
1683,3.607872e-07,0,0
3543,3.6966156e-07,1,0
601,3.7216137e-07,0,0
403,3.7357128e-07,0,0
476,3.7765668e-07,0,0
428,3.8477197e-07,0,0
725,3.8607095e-07,0,0
1550,3.8908743e-07,0,0
1320,3.9055143e-07,0,0
1272,3.9260607e-07,0,0
1787,3.969496e-07,0,0
1723,4.1619168e-07,0,0
1896,4.1820203e-07,0,0
384,4.2068973e-07,0,0
797,4.21628e-07,0,0
3209,4.2508523e-07,1,0
763,4.3112553e-07,0,0
169,4.347788e-07,0,0
426,4.4841462e-07,0,0
457,4.5378954e-07,0,0
1737,4.5425804e-07,0,0
1313,4.5971657e-07,0,0
1362,4.6793323e-07,0,0
1631,4.6930523e-07,0,0
1300,4.7148367e-07,0,0
1220,4.7510272e-07,0,0
688,4.794962e-07,0,0
3931,4.826931e-07,1,0
2148,4.8713633e-07,1,0
2608,4.94285e-07,1,0
1849,4.990876e-07,0,0
875,4.9950995e-07,0,0
993,4.999465e-07,0,0
3763,5.032136e-07,1,0
700,5.1285093e-07,0,0
2768,5.134421e-07,1,0
1336,5.2204666e-07,0,0
3238,5.3111137e-07,1,0
1983,5.357866e-07,0,0
1834,5.365975e-07,0,0
467,5.446118e-07,0,0
2899,5.455896e-07,1,0
1177,5.668167e-07,0,0
3068,5.743438e-07,1,0
1013,5.7826907e-07,0,0
1422,5.801488e-07,0,0
2207,5.804759e-07,1,0
1749,5.8994385e-07,0,0
255,5.903519e-07,0,0
1963,6.0294013e-07,0,0
1084,6.0986594e-07,0,0
325,6.101952e-07,0,0
3190,6.1132636e-07,1,0
580,6.145806e-07,0,0
3759,6.222029e-07,1,0
360,6.2711575e-07,0,0
798,6.280273e-07,0,0
1380,6.284125e-07,0,0
2271,6.325987e-07,1,0
209,6.352061e-07,0,0
739,6.3850825e-07,0,0
491,6.393827e-07,0,0
2082,6.496714e-07,1,0
1010,6.55546e-07,0,0
223,6.5913673e-07,0,0
1711,6.70516e-07,0,0
3005,6.729022e-07,1,0
1845,7.0627294e-07,0,0
1508,7.0792646e-07,0,0
1768,7.094038e-07,0,0
1746,7.256135e-07,0,0
1486,7.2645963e-07,0,0
2990,7.3202466e-07,1,0
136,7.336811e-07,0,0
9,7.4241444e-07,0,0
1553,7.4305757e-07,0,0
2244,7.4856916e-07,1,0
3580,7.542978e-07,1,0
2260,7.9042405e-07,1,0
216,7.9345864e-07,0,0
3694,8.085822e-07,1,0
711,8.2188905e-07,0,0
1384,8.310698e-07,0,0
1937,8.5054603e-07,0,0
2372,8.539238e-07,1,0
2785,8.5523186e-07,1,0
900,8.591681e-07,0,0
1286,8.6769217e-07,0,0
765,8.850481e-07,0,0
3552,8.891894e-07,1,0
3272,8.9403613e-07,1,0
284,8.9943995e-07,0,0
2847,9.020127e-07,1,0
714,9.0299557e-07,0,0
3579,9.086071e-07,1,0
999,9.100241e-07,0,0
2628,9.20846e-07,1,0
3088,9.27333e-07,1,0
427,9.327674e-07,0,0
2431,9.3434863e-07,1,0
949,9.36754e-07,0,0
1797,9.4764346e-07,0,0
874,9.557884e-07,0,0
3147,9.740293e-07,1,0
804,1.0085948e-06,0,0
2303,1.0088805e-06,1,0
630,1.0182127e-06,0,0
3628,1.024762e-06,1,0
2753,1.0366073e-06,1,0
864,1.0373906e-06,0,0
1986,1.0861397e-06,0,0
334,1.0999861e-06,0,0
1036,1.1090629e-06,0,0
3135,1.1105594e-06,1,0
771,1.1424896e-06,0,0
2116,1.1514426e-06,1,0
768,1.1744977e-06,0,0
1988,1.1747084e-06,0,0
1750,1.2192338e-06,0,0
344,1.235565e-06,0,0
1574,1.2416033e-06,0,0
1886,1.2418875e-06,0,0
353,1.2538007e-06,0,0
717,1.297323e-06,0,0
1271,1.3114918e-06,0,0
3711,1.3260114e-06,1,0
3387,1.3319366e-06,1,0
1311,1.3335418e-06,0,0
1592,1.3383462e-06,0,0
1512,1.3430399e-06,0,0
917,1.3465603e-06,0,0
1753,1.3550291e-06,0,0
313,1.3578659e-06,0,0
554,1.3693526e-06,0,0
1613,1.3712814e-06,0,0
298,1.382527e-06,0,0
1498,1.4013472e-06,0,0
508,1.4165157e-06,0,0
3390,1.4213466e-06,1,0
